,cement,blast_furnance_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,compressive_strength,log_age
50,323.7,282.8,0.0,183.8,10.3,942.7,659.9,49.80085148,1.9459101490553132
51,297.16,0.0,117.54,174.8,9.52,1022.8,753.45,56.7438748,4.605170185988092
52,305.3,203.5,0.0,203.5,0.0,965.4,631.0,43.377003588,3.332204510175204
53,332.5,142.5,0.0,228.0,0.0,932.0,594.0,39.779317819999996,5.19295685089021
54,310.0,143.0,111.0,168.0,22.0,914.0,651.0,33.68779736,3.332204510175204
55,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,66.59648684,4.51085950651685
56,290.35,0.0,96.18,168.08,9.41,961.18,865.0,48.97348028,4.605170185988092
57,178.03,129.8,118.6,179.94,3.57,1007.3,746.8,48.587373719999995,4.02535169073515
58,255.0,0.0,0.0,192.0,0.0,889.8,945.0,18.746162964,3.332204510175204
59,480.0,0.0,0.0,192.0,0.0,936.0,721.0,54.27555072,4.499809670330265
60,336.0,0.0,0.0,182.0,3.0,986.0,817.0,44.86420332,3.332204510175204
61,446.0,24.0,79.0,162.0,11.61,967.0,712.0,61.06688932,4.02535169073515
62,312.9,160.5,0.0,177.6,9.6,916.6,759.5,52.446370892,3.332204510175204
63,190.34,0.0,125.18,166.61,9.88,1079.0,798.9,24.84871504,3.332204510175204
64,393.0,0.0,0.0,192.0,0.0,940.6,785.6,19.199148695999998,1.0986122886681098
65,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,69.65776027999999,4.499809670330265
66,362.6,189.0,0.0,164.9,11.6,944.7,755.8,79.29663476,4.51085950651685
67,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,8.06342182,1.0986122886681098
68,194.68,0.0,100.52,170.17,7.48,998.0,901.8,44.27814872,4.605170185988092
69,212.57,0.0,100.39,159.35,10.37,1003.8,903.79,44.395359639999995,4.02535169073515
70,393.0,0.0,0.0,192.0,0.0,940.6,785.6,27.742445811999996,1.9459101490553132
71,155.2,183.9,143.2,193.8,9.2,879.6,698.5,28.991086848000002,3.332204510175204
72,310.0,142.8,0.0,167.9,10.0,914.3,804.0,45.304778483999996,3.332204510175204
73,228.0,342.1,0.0,185.7,0.0,955.8,674.3,39.699338604,3.332204510175204
74,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,11.85209244,1.0986122886681098
75,194.68,0.0,100.52,170.17,7.48,998.0,901.8,24.28334472,2.6390573296152584
76,296.0,0.0,107.0,221.0,11.0,819.0,778.0,31.419421319999998,3.332204510175204
77,297.16,0.0,117.54,174.8,9.52,1022.8,753.45,36.990387399999996,2.6390573296152584
78,331.0,0.0,0.0,192.0,0.0,978.0,825.0,16.26473884,1.9459101490553132
79,333.0,0.0,0.0,192.0,0.0,931.2,842.6,23.404952295999998,1.9459101490553132
80,387.0,20.0,94.0,157.0,14.32,938.0,845.0,56.33708396,4.02535169073515
81,427.5,47.5,0.0,228.0,0.0,932.0,594.0,35.076402024,1.9459101490553132
82,298.1,0.0,107.5,163.6,12.8,953.2,784.0,35.86585204399999,3.332204510175204
83,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,59.76377968,2.6390573296152584
84,359.0,19.0,141.0,154.0,10.91,942.0,801.0,35.75425543054136,1.9459101490553132
85,145.7,172.6,0.0,181.9,3.4,985.8,816.8,23.744174488,3.332204510175204
86,310.0,0.0,0.0,192.0,0.0,970.0,850.0,34.6806428,4.499809670330265
87,321.3,164.2,0.0,190.5,4.6,870.0,774.0,57.21823428799999,3.332204510175204
88,190.68,0.0,125.4,162.14,7.77,1090.0,804.01,21.063491799999998,2.6390573296152584
89,359.0,19.0,141.0,154.0,10.91,942.0,801.0,68.75060685418796,4.02535169073515
90,212.07,0.0,121.62,180.31,5.69,1057.6,779.32,12.47262084,1.0986122886681098
91,491.0,26.0,123.0,201.0,3.93,822.0,699.0,37.92118,1.9459101490553132
92,310.0,143.0,0.0,168.0,10.0,914.0,804.0,45.2985732,3.332204510175204
93,246.83,0.0,125.08,143.3,11.99,1086.8,800.89,42.21661548,2.6390573296152584
94,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,59.79825348,3.332204510175204
95,289.0,134.0,0.0,195.0,6.0,924.0,760.0,46.24315532,3.332204510175204
96,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,55.94408264,3.332204510175204
97,200.0,133.0,0.0,192.0,0.0,965.4,806.2,17.165883972,1.9459101490553132
98,231.75,0.0,121.62,173.96,6.72,1056.4,778.45,42.69924868,4.02535169073515
99,273.0,0.0,90.0,199.0,11.0,931.0,762.0,32.23989776,3.332204510175204
100,156.0,178.0,187.0,221.0,7.0,854.0,614.0,29.41304616,3.332204510175204
101,387.0,20.0,94.0,157.0,14.32,938.0,845.0,50.23522136,3.332204510175204
102,167.35,129.9,128.62,175.46,7.79,1006.3,746.6,41.20308576,3.332204510175204
103,289.0,0.0,0.0,192.0,0.0,913.2,895.3,14.596896395999998,1.9459101490553132
104,387.0,20.0,94.0,157.0,13.93,938.0,845.0,45.89841732,1.9459101490553132
105,212.52,0.0,100.37,159.32,8.71,1007.8,903.59,31.640053639999998,3.332204510175204
106,322.5,148.6,0.0,185.8,8.5,951.0,709.5,52.426376088,3.332204510175204
107,203.5,135.7,0.0,185.7,0.0,1076.2,759.3,22.629981272,3.332204510175204
108,190.34,0.0,125.18,161.85,9.88,1088.1,802.59,38.56239268,4.02535169073515
109,142.0,167.0,130.0,174.0,11.0,883.0,785.0,44.6090972,3.332204510175204
110,190.34,0.0,125.18,161.85,9.88,1088.1,802.59,9.4458212,1.0986122886681098
111,159.0,209.0,161.0,201.0,7.0,848.0,669.0,30.881630039999997,3.332204510175204
112,212.0,0.0,124.78,159.0,7.84,1085.4,799.54,19.519065559999998,1.0986122886681098
113,134.7,0.0,165.7,180.2,10.0,961.0,804.9,13.293786756,3.332204510175204
114,491.0,26.0,123.0,201.0,3.93,822.0,699.0,57.915983999999995,3.332204510175204
115,424.0,22.0,132.0,168.0,8.92,822.0,750.0,74.3649114581204,4.02535169073515
116,307.0,0.0,0.0,193.0,0.0,968.0,812.0,34.48758952,5.19295685089021
117,145.4,0.0,178.9,201.7,7.8,824.0,868.7,10.535882756,3.332204510175204
118,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,58.78472376,4.499809670330265
119,255.0,0.0,0.0,192.0,0.0,889.8,945.0,21.859147104,4.499809670330265
120,362.6,189.0,0.0,164.9,11.6,944.7,755.8,71.29871315999999,3.332204510175204
121,250.0,0.0,95.69,187.42,5.53,956.86,861.17,38.32797084,4.02535169073515
122,376.0,0.0,0.0,214.6,0.0,1003.5,762.36,43.0577762,4.605170185988092
123,331.0,0.0,0.0,192.0,0.0,978.0,825.0,31.44700036,3.332204510175204
124,252.31,0.0,98.75,146.25,14.17,987.76,889.01,50.60064364,3.332204510175204
125,157.0,214.0,152.0,200.0,9.0,819.0,704.0,33.05347944,3.332204510175204
126,236.0,157.0,0.0,192.0,0.0,972.6,749.1,32.88455782,3.332204510175204
127,178.03,129.8,118.6,179.94,3.57,1007.3,746.8,49.99390476,4.605170185988092
128,144.0,136.0,106.0,178.0,7.0,941.0,774.0,26.14492992,3.332204510175204
129,389.9,189.0,0.0,145.9,22.0,944.7,755.8,59.09498796,1.9459101490553132
130,132.0,206.5,160.9,178.9,5.5,866.9,735.6,33.306517131999996,3.332204510175204
131,229.97,0.0,118.31,195.47,4.63,1029.4,758.59,20.08443588,2.6390573296152584
132,133.0,200.0,0.0,192.0,0.0,927.4,839.2,36.588422892,4.499809670330265
133,491.0,26.0,123.0,210.0,3.93,882.0,699.0,59.590425715270676,4.02535169073515
134,380.0,95.0,0.0,228.0,0.0,932.0,594.0,32.823194456,1.9459101490553132
135,397.0,0.0,0.0,186.0,0.0,1040.0,734.0,36.93522932,3.332204510175204
136,136.0,196.0,98.0,199.0,6.0,847.0,783.0,26.96540636,3.332204510175204
137,342.0,38.0,0.0,228.0,0.0,932.0,670.0,56.141962252,5.8998973535824915
138,233.81,0.0,94.58,197.89,4.567,947.04,852.16,22.13907436,2.6390573296152584
139,152.0,178.0,139.0,168.0,18.0,944.0,695.0,36.34917472,3.332204510175204
140,275.0,0.0,0.0,183.0,0.0,1088.0,808.0,24.49708228,3.332204510175204
141,380.0,95.0,0.0,228.0,0.0,932.0,594.0,36.447769788,3.332204510175204
142,450.1,50.0,0.0,200.0,3.0,1124.4,613.2,39.37597436,3.332204510175204
143,375.0,93.8,0.0,126.6,23.4,852.1,992.6,60.19814956,4.02535169073515
144,318.8,212.5,0.0,155.7,14.3,852.1,880.4,33.398217439999996,1.9459101490553132
145,277.19,97.82,24.46,160.7,11.19,1061.7,782.46,66.82401392,4.02535169073515
146,192.0,288.0,0.0,192.0,0.0,929.8,716.1,21.48062478,1.9459101490553132
147,133.0,210.0,0.0,196.0,3.0,949.0,795.0,31.026419999999998,3.332204510175204
148,272.8,181.9,0.0,185.7,0.0,1012.4,714.3,19.765208492,1.9459101490553132
149,252.31,0.0,98.75,146.25,14.17,987.76,889.01,42.29245784,2.6390573296152584
150,213.5,0.0,174.24,159.21,11.66,1043.6,771.9,44.63667624,3.332204510175204
151,152.7,144.7,0.0,178.1,8.0,999.7,822.2,19.009542795999998,3.332204510175204
152,260.0,101.0,78.0,171.0,10.0,936.0,763.0,49.77327244,3.332204510175204
153,148.5,139.4,108.6,192.7,6.1,892.4,780.0,23.696600644,3.332204510175204
154,173.81,93.37,159.9,172.34,9.73,1007.2,746.6,15.81657944,1.0986122886681098
155,439.0,177.0,0.0,186.0,11.1,884.9,707.9,39.300132,1.0986122886681098
156,182.04,45.21,121.97,170.21,8.19,1059.4,780.65,21.504756439999998,2.6390573296152584
157,158.0,0.0,195.0,220.0,11.0,898.0,713.0,8.53571288,3.332204510175204
158,157.0,236.0,0.0,192.0,0.0,935.4,781.2,9.694722036,1.0986122886681098
159,491.0,26.0,123.0,201.0,3.93,822.0,699.0,61.85584685418796,4.02535169073515
160,213.5,0.0,174.24,159.21,11.66,1043.6,771.9,51.25564584,4.02535169073515
161,313.3,145.0,0.0,178.5,8.0,867.2,824.0,40.925226931999994,3.332204510175204
162,238.1,0.0,0.0,185.7,0.0,1118.8,789.3,17.576122192,3.332204510175204
163,145.0,0.0,179.0,202.0,8.0,824.0,869.0,10.53519328,3.332204510175204
164,166.8,250.2,0.0,203.5,0.0,975.6,692.6,33.947729812,3.332204510175204
165,381.4,0.0,0.0,185.7,0.0,1104.6,784.3,22.489328168,3.332204510175204
166,264.5,111.0,86.5,195.5,5.9,832.6,790.4,41.542307951999994,3.332204510175204
167,190.34,0.0,125.18,161.85,9.88,1088.1,802.59,40.38950408,4.605170185988092
168,229.68,0.0,118.16,195.23,6.13,1028.1,757.63,22.31833812,2.6390573296152584
169,375.0,93.8,0.0,126.6,23.4,852.1,992.6,45.69846928,1.9459101490553132
170,225.0,0.0,0.0,181.0,0.0,1113.0,833.0,17.3403214,3.332204510175204
171,275.0,180.0,120.0,162.0,10.35,830.0,765.0,76.23536132,3.332204510175204
172,374.0,189.2,0.0,170.1,10.1,926.1,756.7,64.90037588,4.51085950651685
173,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,17.9953236,1.0986122886681098
174,251.37,0.0,118.27,192.94,5.75,1043.6,754.3,39.2656582,4.02535169073515
175,182.04,45.21,121.97,170.21,8.19,1059.4,780.65,43.49904084,4.02535169073515
176,181.9,272.8,0.0,185.7,0.0,1012.4,714.3,12.37264682,1.9459101490553132
177,295.0,0.0,0.0,185.0,0.0,1069.0,769.0,14.796154959999999,1.9459101490553132
178,362.6,189.0,0.0,164.9,11.6,944.7,755.8,71.29871315999999,3.332204510175204
179,362.6,189.0,0.0,164.9,11.6,944.7,755.8,77.29715436,4.02535169073515
180,168.88,42.22,124.25,158.33,10.83,1080.8,796.15,7.3980774799999995,1.0986122886681098
181,316.1,210.7,0.0,185.7,0.0,977.0,689.3,24.437787344,1.9459101490553132
182,213.5,0.0,174.24,154.61,11.66,1052.3,775.48,17.36790044,1.0986122886681098
183,277.05,0.0,97.39,160.6,11.83,973.9,875.61,23.13881456,1.0986122886681098
184,102.0,153.0,0.0,192.0,0.0,887.0,942.0,7.675936308,1.9459101490553132
185,153.6,144.2,112.3,220.1,10.1,923.2,657.9,16.503987012,3.332204510175204
186,266.0,114.0,0.0,228.0,0.0,932.0,670.0,52.908319811999995,5.8998973535824915
187,288.0,192.0,0.0,192.0,0.0,932.0,717.8,16.10960674,1.0986122886681098
188,362.6,189.0,0.0,164.9,11.6,944.7,755.8,77.29715436,4.02535169073515
189,362.6,189.0,0.0,164.9,11.6,944.7,755.8,22.89749796,1.9459101490553132
190,425.0,106.3,0.0,151.4,18.6,936.0,803.7,36.3009114,1.0986122886681098
191,212.07,0.0,121.62,180.31,5.69,1057.6,779.32,34.20490436,4.02535169073515
192,250.0,180.0,95.0,159.0,9.45,860.0,800.0,67.86512268,3.332204510175204
193,531.3,0.0,0.0,141.8,28.2,852.1,893.7,46.89815752,1.9459101490553132
194,210.7,316.1,0.0,185.7,0.0,977.0,689.3,21.819846971999997,1.9459101490553132
195,170.3,155.5,0.0,185.7,0.0,1026.6,724.3,25.726417988,3.332204510175204
196,385.0,0.0,0.0,186.0,0.0,966.0,763.0,6.26733684,0.0
197,322.0,0.0,0.0,203.0,0.0,974.0,800.0,29.58541516,5.19295685089021
198,238.2,158.8,0.0,185.7,0.0,1040.6,734.3,15.691094808,1.9459101490553132
199,265.0,111.0,86.0,195.0,6.0,833.0,790.0,41.540929,3.332204510175204
200,385.0,0.0,0.0,186.0,0.0,966.0,763.0,27.923778,2.6390573296152584
201,193.5,290.2,0.0,185.7,0.0,998.2,704.3,17.200357771999997,1.9459101490553132
202,313.0,0.0,0.0,178.0,8.0,1000.0,822.0,25.0969264,3.332204510175204
203,427.5,47.5,0.0,228.0,0.0,932.0,594.0,41.836714203999996,5.19295685089021
204,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,61.921839559999995,5.19295685089021
205,359.0,19.0,141.0,154.0,10.91,942.0,801.0,62.935369279999996,3.332204510175204
206,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,17.43684804,1.9459101490553132
207,159.1,186.7,0.0,175.6,11.3,989.6,788.9,32.768036376000005,3.332204510175204
208,218.85,0.0,124.13,158.49,11.33,1078.7,794.91,15.340841,1.0986122886681098
209,133.0,200.0,0.0,192.0,0.0,927.4,839.2,27.874825204,3.332204510175204
210,238.05,0.0,94.11,186.66,7.0,949.91,847.01,39.58971192,4.02535169073515
211,322.0,0.0,0.0,203.0,0.0,974.0,800.0,25.17966352,3.332204510175204
212,375.0,93.8,0.0,126.6,23.4,852.1,992.6,62.5009994,4.51085950651685
213,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,41.63745564,1.0986122886681098
214,475.0,118.8,0.0,181.1,8.9,852.1,781.5,55.59934464,1.9459101490553132
215,122.6,183.9,0.0,203.5,0.0,958.2,800.1,24.290928956,3.332204510175204
216,318.8,212.5,0.0,155.7,14.3,852.1,880.4,25.2003478,1.0986122886681098
217,136.4,161.6,125.8,171.6,10.4,922.6,764.4,29.073134491999998,3.332204510175204
218,385.0,0.0,136.0,158.0,20.0,903.0,768.0,55.55108132,3.332204510175204
219,236.0,0.0,0.0,194.0,0.0,968.0,885.0,21.946021079999998,4.499809670330265
220,153.0,102.0,0.0,192.0,0.0,888.0,943.1,26.322814728,4.499809670330265
221,165.0,0.02,143.57,163.81,0.0,1005.6,900.9,37.9556538,4.605170185988092
222,143.0,169.4,142.7,190.7,8.4,967.4,643.5,29.726068263999995,3.332204510175204
223,202.0,11.0,141.0,206.0,1.72,942.0,801.0,15.069975430541358,1.9459101490553132
224,218.85,0.0,124.13,158.49,11.33,1078.7,794.91,26.04840328,2.6390573296152584
225,528.0,0.0,0.0,185.0,6.86,920.0,720.0,56.83350668,3.332204510175204
226,150.0,236.8,0.0,173.8,11.9,1069.3,674.8,37.431652039999996,3.332204510175204
227,252.0,0.0,0.0,185.0,0.0,1111.0,784.0,19.691434559999998,3.332204510175204
228,376.0,0.0,0.0,214.6,0.0,1003.5,762.36,25.62092816,2.6390573296152584
229,304.0,76.0,0.0,228.0,0.0,932.0,670.0,49.185149411999994,4.499809670330265
230,212.52,0.0,100.37,159.32,8.71,1007.8,903.59,42.919881,4.605170185988092
231,233.81,0.0,94.58,197.89,4.567,947.04,852.16,27.66177712,4.02535169073515
232,337.9,189.0,0.0,174.9,9.5,944.7,755.8,35.101223159999996,1.9459101490553132
233,233.81,0.0,94.58,197.89,4.567,947.04,852.16,22.83544512,3.332204510175204
234,251.81,0.0,99.94,146.14,12.35,1006.0,899.76,45.3675208,4.605170185988092
235,146.5,114.6,89.3,201.9,8.8,860.0,829.5,19.98790924,3.332204510175204
236,375.0,93.8,0.0,126.6,23.4,852.1,992.6,56.69561148,3.332204510175204
237,252.31,0.0,98.75,146.25,14.17,987.76,889.01,21.78054684,1.0986122886681098
238,154.0,174.0,185.0,228.0,7.0,845.0,612.0,24.3385028,3.332204510175204
239,182.04,45.21,121.97,170.21,8.19,1059.4,780.65,31.2677366,3.332204510175204
240,397.0,0.0,0.0,185.7,0.0,1040.6,734.3,25.447869684,1.9459101490553132
241,339.0,0.0,0.0,185.0,0.0,1069.0,754.0,21.160018439999998,1.9459101490553132
242,203.5,135.7,0.0,185.7,0.0,1076.2,759.3,11.957582268,1.9459101490553132
243,475.0,118.8,0.0,181.1,8.9,852.1,781.5,37.79707432,1.0986122886681098
244,154.8,0.0,142.8,193.3,9.1,1047.4,696.7,12.459520796,3.332204510175204
245,298.0,0.0,107.0,210.0,11.0,880.0,744.0,31.874475479999997,3.332204510175204
246,236.0,157.0,0.0,192.0,0.0,972.6,749.1,47.782065751999994,4.499809670330265
247,425.0,106.3,0.0,153.5,16.5,852.1,887.1,64.30053176,4.02535169073515
248,332.5,142.5,0.0,228.0,0.0,932.0,594.0,37.721921436,4.499809670330265
249,305.3,203.5,0.0,203.5,0.0,965.4,631.0,25.893960655999997,1.9459101490553132
250,238.1,0.0,0.0,185.7,0.0,1118.8,789.3,10.335934715999999,1.9459101490553132
251,322.2,0.0,115.6,196.0,10.4,817.9,813.4,31.178794196000002,3.332204510175204
252,198.6,132.4,0.0,192.0,0.0,978.4,825.5,44.296075096,5.886104031450156
253,173.81,93.37,159.9,172.34,9.73,1007.2,746.6,29.55094136,2.6390573296152584
254,190.0,190.0,0.0,228.0,0.0,932.0,670.0,50.655112243999994,5.598421958998375
255,397.0,17.2,158.0,167.0,20.8,967.0,633.0,55.647607959999995,3.332204510175204
256,116.0,173.0,0.0,192.0,0.0,909.8,891.9,31.023662096000002,4.499809670330265
257,212.07,0.0,121.62,180.31,5.69,1057.6,779.32,39.6103962,4.605170185988092
258,309.9,142.8,111.2,167.8,22.1,913.9,651.2,38.215586251999994,3.332204510175204
259,342.0,38.0,0.0,228.0,0.0,932.0,670.0,55.064311264,5.598421958998375
260,238.05,0.0,94.11,186.66,7.0,949.91,847.01,19.93275116,1.0986122886681098
261,252.1,97.1,75.6,193.8,8.3,835.5,821.4,33.399596392,3.332204510175204
262,389.9,189.0,0.0,145.9,22.0,944.7,755.8,82.5992248,4.51085950651685
263,173.54,50.05,173.53,164.77,6.47,1006.2,793.5,53.77223324,4.02535169073515
264,296.0,0.0,0.0,192.0,0.0,1085.0,765.0,14.2032056,1.9459101490553132
265,339.2,0.0,0.0,185.7,0.0,1069.2,754.3,21.179323768,1.9459101490553132
266,140.0,133.0,103.0,200.0,7.0,916.0,753.0,36.4388066,3.332204510175204
267,540.0,0.0,0.0,162.0,2.5,1040.0,676.0,79.98611076,3.332204510175204
268,381.4,0.0,0.0,185.7,0.0,1104.6,784.3,14.54104884,1.9459101490553132
269,475.0,0.0,0.0,228.0,0.0,932.0,594.0,42.131120456,5.598421958998375
270,424.0,22.0,132.0,178.0,8.48,822.0,750.0,65.69721314581203,4.02535169073515
271,155.0,0.0,143.0,193.0,9.0,1047.0,697.0,12.45883132,3.332204510175204
272,400.0,0.0,0.0,187.0,0.0,1025.0,745.0,30.143890719999998,1.9459101490553132
273,122.6,183.9,0.0,203.5,0.0,958.2,800.1,10.354550567999999,1.9459101490553132
274,178.03,129.8,118.6,179.94,3.57,1007.3,746.8,39.1622368,3.332204510175204
275,339.0,0.0,0.0,197.0,0.0,968.0,781.0,13.22414968,1.0986122886681098
276,149.0,153.0,194.0,192.0,8.0,935.0,623.0,24.579819399999998,3.332204510175204
277,139.7,163.9,127.7,236.7,5.8,868.6,655.6,35.225328839999996,3.332204510175204
278,225.0,0.0,0.0,181.0,0.0,1113.0,833.0,11.169511199999999,1.9459101490553132
279,469.0,117.2,0.0,137.8,32.2,852.1,840.5,40.1964508,1.0986122886681098
280,318.8,212.5,0.0,155.7,14.3,852.1,880.4,66.10006412,4.02535169073515
281,362.6,189.0,0.0,164.9,11.6,944.7,755.8,71.29871315999999,3.332204510175204
282,325.0,0.0,0.0,184.0,0.0,1063.0,783.0,30.57136584,3.332204510175204
283,359.0,19.0,141.0,154.0,10.91,942.0,801.0,66.78067543054136,4.02535169073515
284,251.81,0.0,99.94,146.14,12.35,1006.0,899.76,33.94290348,3.332204510175204
285,190.0,190.0,0.0,228.0,0.0,932.0,670.0,40.856968808,3.332204510175204
286,424.0,22.0,132.0,168.0,8.92,822.0,750.0,40.28509771527068,1.9459101490553132
287,304.0,140.0,0.0,214.0,6.0,895.0,722.0,33.41890172,3.332204510175204
288,382.0,0.0,0.0,186.0,0.0,1047.0,739.0,37.42475728,3.332204510175204
289,393.0,0.0,0.0,192.0,0.0,940.6,785.6,39.604880392,3.332204510175204
290,451.0,0.0,0.0,165.0,11.25,1030.0,745.0,78.80021203999999,3.332204510175204
291,312.7,0.0,0.0,178.1,8.0,999.7,822.2,25.10382116,3.332204510175204
292,158.8,238.2,0.0,185.7,0.0,1040.6,734.3,9.617500724000001,1.9459101490553132
293,165.0,0.02,143.57,163.81,0.0,1005.6,900.9,14.39625888,1.0986122886681098
294,218.23,54.64,123.78,140.75,11.91,1075.7,792.67,35.9561734,2.6390573296152584
295,236.0,0.0,0.0,193.0,0.0,968.0,885.0,24.104080959999997,5.19295685089021
296,285.0,190.0,0.0,163.0,7.6,1031.0,685.0,53.57917996,3.332204510175204
297,289.0,0.0,0.0,192.0,0.0,913.2,895.3,11.654902304,1.0986122886681098
298,151.6,0.0,111.9,184.4,7.9,992.0,815.9,12.180972492,3.332204510175204
299,150.7,0.0,185.3,166.7,15.6,1074.5,678.0,13.461329424,3.332204510175204
300,203.5,305.3,0.0,203.5,0.0,963.4,630.0,19.539060364,1.9459101490553132
301,186.2,124.1,0.0,185.7,0.0,1083.4,764.3,17.596806471999997,3.332204510175204
302,475.0,118.8,0.0,181.1,8.9,852.1,781.5,72.29845336,4.02535169073515
303,337.9,189.0,0.0,174.9,9.5,944.7,755.8,24.0971862,1.0986122886681098
304,250.0,0.0,95.69,191.84,5.33,948.9,857.2,39.64487,4.02535169073515
305,250.0,0.0,0.0,182.0,0.0,1100.0,820.0,20.87043852,3.332204510175204
306,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,14.589312159999999,1.9459101490553132
